tensor(7.6994, grad_fn=<AddBackward0>)
tensor(9.7965, grad_fn=<AddBackward0>)
tensor(7.8610, grad_fn=<AddBackward0>)
tensor(7.7745, grad_fn=<AddBackward0>)
tensor(8.4364, grad_fn=<AddBackward0>)
tensor(8.4570, grad_fn=<AddBackward0>)
tensor(8.8964, grad_fn=<AddBackward0>)
tensor(8.9768, grad_fn=<AddBackward0>)
tensor(8.8777, grad_fn=<AddBackward0>)
tensor(8.5568, grad_fn=<AddBackward0>)
tensor(8.4529, grad_fn=<AddBackward0>)
tensor(9.5223, grad_fn=<AddBackward0>)
tensor(8.5518, grad_fn=<AddBackward0>)
tensor(7.7512, grad_fn=<AddBackward0>)
tensor(10.0026, grad_fn=<AddBackward0>)
tensor(5.9319, grad_fn=<AddBackward0>)
tensor(7.7432, grad_fn=<AddBackward0>)
tensor(9.5893, grad_fn=<AddBackward0>)
tensor(9.4068, grad_fn=<AddBackward0>)
tensor(9.6084, grad_fn=<AddBackward0>)
tensor(9.3123, grad_fn=<AddBackward0>)
tensor(8.5701, grad_fn=<AddBackward0>)
tensor(8.7624, grad_fn=<AddBackward0>)
tensor(6.8100, grad_fn=<AddBackward0>)
tensor(8.1486, grad_fn=<AddBackward0>)
tensor(8.3732, grad_fn=<AddBackward0>)
tensor(10.3514, grad_fn=<AddBackward0>)
tensor(7.7553, grad_fn=<AddBackward0>)
tensor(9.2267, grad_fn=<AddBackward0>)
tensor(7.9980, grad_fn=<AddBackward0>)
tensor(7.5558, grad_fn=<AddBackward0>)
tensor(8.7048, grad_fn=<AddBackward0>)
tensor(7.7009, grad_fn=<AddBackward0>)
tensor(9.0225, grad_fn=<AddBackward0>)
tensor(8.5854, grad_fn=<AddBackward0>)
tensor(7.4341, grad_fn=<AddBackward0>)
tensor(7.8531, grad_fn=<AddBackward0>)
tensor(8.7645, grad_fn=<AddBackward0>)
tensor(6.6532, grad_fn=<AddBackward0>)
tensor(7.7318, grad_fn=<AddBackward0>)
tensor(7.3209, grad_fn=<AddBackward0>)
tensor(7.3244, grad_fn=<AddBackward0>)
tensor(8.7199, grad_fn=<AddBackward0>)
tensor(7.3410, grad_fn=<AddBackward0>)
tensor(6.6748, grad_fn=<AddBackward0>)
tensor(9.0602, grad_fn=<AddBackward0>)
tensor(7.2256, grad_fn=<AddBackward0>)
tensor(7.6672, grad_fn=<AddBackward0>)
tensor(8.2612, grad_fn=<AddBackward0>)
tensor(7.5376, grad_fn=<AddBackward0>)
tensor(8.4303, grad_fn=<AddBackward0>)
tensor(7.3450, grad_fn=<AddBackward0>)
tensor(8.0368, grad_fn=<AddBackward0>)
tensor(7.6706, grad_fn=<AddBackward0>)
tensor(8.4665, grad_fn=<AddBackward0>)
tensor(7.6984, grad_fn=<AddBackward0>)
tensor(8.0207, grad_fn=<AddBackward0>)
tensor(7.2749, grad_fn=<AddBackward0>)
tensor(6.2387, grad_fn=<AddBackward0>)
tensor(7.8719, grad_fn=<AddBackward0>)
tensor(8.3280, grad_fn=<AddBackward0>)
tensor(9.3457, grad_fn=<AddBackward0>)
tensor(8.6377, grad_fn=<AddBackward0>)
tensor(9.7144, grad_fn=<AddBackward0>)
tensor(7.2993, grad_fn=<AddBackward0>)
tensor(8.7228, grad_fn=<AddBackward0>)
tensor(6.2200, grad_fn=<AddBackward0>)
tensor(5.8899, grad_fn=<AddBackward0>)
tensor(8.4083, grad_fn=<AddBackward0>)
tensor(7.0580, grad_fn=<AddBackward0>)
tensor(7.9558, grad_fn=<AddBackward0>)
tensor(10.3556, grad_fn=<AddBackward0>)
tensor(9.2596, grad_fn=<AddBackward0>)
tensor(8.6154, grad_fn=<AddBackward0>)
tensor(7.5513, grad_fn=<AddBackward0>)
tensor(7.8725, grad_fn=<AddBackward0>)
tensor(6.6720, grad_fn=<AddBackward0>)
tensor(8.0495, grad_fn=<AddBackward0>)
tensor(7.4789, grad_fn=<AddBackward0>)
tensor(7.3035, grad_fn=<AddBackward0>)
tensor(8.4492, grad_fn=<AddBackward0>)
tensor(8.5324, grad_fn=<AddBackward0>)
tensor(6.7510, grad_fn=<AddBackward0>)
tensor(7.9791, grad_fn=<AddBackward0>)
tensor(7.6394, grad_fn=<AddBackward0>)
tensor(8.3161, grad_fn=<AddBackward0>)
tensor(7.8829, grad_fn=<AddBackward0>)
tensor(8.1415, grad_fn=<AddBackward0>)
tensor(8.9890, grad_fn=<AddBackward0>)
tensor(6.3340, grad_fn=<AddBackward0>)
tensor(8.4102, grad_fn=<AddBackward0>)
tensor(7.4731, grad_fn=<AddBackward0>)
tensor(9.2092, grad_fn=<AddBackward0>)
tensor(6.4835, grad_fn=<AddBackward0>)
tensor(7.9730, grad_fn=<AddBackward0>)
tensor(8.3373, grad_fn=<AddBackward0>)
tensor(6.9978, grad_fn=<AddBackward0>)
tensor(7.3136, grad_fn=<AddBackward0>)
tensor(6.4585, grad_fn=<AddBackward0>)
tensor(7.8659, grad_fn=<AddBackward0>)
tensor(6.6522, grad_fn=<AddBackward0>)
tensor(6.6054, grad_fn=<AddBackward0>)
tensor(6.4724, grad_fn=<AddBackward0>)
tensor(8.5393, grad_fn=<AddBackward0>)
tensor(8.7408, grad_fn=<AddBackward0>)
tensor(8.6759, grad_fn=<AddBackward0>)
tensor(9.0313, grad_fn=<AddBackward0>)
tensor(8.1071, grad_fn=<AddBackward0>)
tensor(7.9780, grad_fn=<AddBackward0>)
tensor(6.5148, grad_fn=<AddBackward0>)
tensor(9.1957, grad_fn=<AddBackward0>)
tensor(7.9483, grad_fn=<AddBackward0>)
tensor(7.6112, grad_fn=<AddBackward0>)
tensor(7.4171, grad_fn=<AddBackward0>)
tensor(9.2311, grad_fn=<AddBackward0>)
tensor(6.6972, grad_fn=<AddBackward0>)
tensor(7.1913, grad_fn=<AddBackward0>)
tensor(8.2191, grad_fn=<AddBackward0>)
tensor(6.4404, grad_fn=<AddBackward0>)
tensor(7.4009, grad_fn=<AddBackward0>)
tensor(9.1081, grad_fn=<AddBackward0>)
tensor(7.2185, grad_fn=<AddBackward0>)
tensor(5.4744, grad_fn=<AddBackward0>)
tensor(8.3320, grad_fn=<AddBackward0>)
tensor(6.1379, grad_fn=<AddBackward0>)
tensor(6.5159, grad_fn=<AddBackward0>)
tensor(7.2690, grad_fn=<AddBackward0>)
tensor(6.8924, grad_fn=<AddBackward0>)
tensor(5.1802, grad_fn=<AddBackward0>)
